  RL                   , -I(RL1)              
  1.000000000000e+002  ,3.575342996411e-003  
  1.500000000000e+002  ,3.573883406906e-003  
  2.000000000000e+002  ,3.572495199418e-003  
  2.500000000000e+002  ,3.571175751105e-003  
  3.000000000000e+002  ,3.569922255857e-003  
  3.500000000000e+002  ,3.568731990392e-003  
  4.000000000000e+002  ,3.567602087660e-003  
  4.500000000000e+002  ,3.566529774103e-003  
  5.000000000000e+002  ,3.565512148925e-003  
  5.500000000000e+002  ,3.564546417676e-003  
  6.000000000000e+002  ,3.563629695679e-003  
  6.500000000000e+002  ,3.562759901249e-003  
  7.000000000000e+002  ,3.561932605901e-003  
  7.500000000000e+002  ,3.561146994234e-003  
  8.000000000000e+002  ,3.560398424397e-003  
  8.500000000000e+002  ,3.559686194487e-003  
  9.000000000000e+002  ,3.559005746694e-003  
  9.500000000000e+002  ,3.558356478557e-003  
  1.000000000000e+003  ,3.557733995006e-003  
  1.050000000000e+003  ,3.557137857117e-003  
  1.100000000000e+003  ,3.556563812152e-003  
  1.150000000000e+003  ,3.556011575478e-003  
  1.200000000000e+003  ,3.555477094399e-003  
  1.250000000000e+003  ,3.554960281142e-003  
  1.300000000000e+003  ,3.554457266054e-003  
  1.350000000000e+003  ,3.553968151506e-003  
  1.400000000000e+003  ,3.553489284991e-003  
  1.450000000000e+003  ,3.553020979913e-003  
  1.500000000000e+003  ,3.552559784500e-003  
  1.550000000000e+003  ,3.552106212640e-003  
  1.600000000000e+003  ,3.551657024195e-003  
  1.650000000000e+003  ,3.551212933846e-003  
  1.700000000000e+003  ,3.550770891885e-003  
  1.750000000000e+003  ,3.550331796175e-003  
  1.800000000000e+003  ,3.549892777054e-003  
  1.850000000000e+003  ,3.549454896302e-003  
  1.900000000000e+003  ,3.549015436525e-003  
  1.950000000000e+003  ,3.548575597079e-003  
  2.000000000000e+003  ,3.548132784205e-003  
  2.050000000000e+003  ,3.547688299889e-003  
  2.100000000000e+003  ,3.547239639686e-003  
  2.150000000000e+003  ,3.546788175634e-003  
  2.200000000000e+003  ,3.546331451076e-003  
  2.250000000000e+003  ,3.545870861801e-003  
  2.300000000000e+003  ,3.545403961354e-003  
  2.350000000000e+003  ,3.544932133487e-003  
  2.400000000000e+003  ,3.544452891695e-003  
  2.450000000000e+003  ,3.543967553220e-003  
  2.500000000000e+003  ,3.543473551410e-003  
  2.550000000000e+003  ,3.542972096920e-003  
  2.600000000000e+003  ,3.542460486560e-003  
  2.650000000000e+003  ,3.541939738229e-003  
  2.700000000000e+003  ,3.541406969179e-003  
  2.750000000000e+003  ,3.540862955569e-003  
  2.800000000000e+003  ,3.540304522826e-003  
  2.850000000000e+003  ,3.539732095894e-003  
  2.900000000000e+003  ,3.539142103000e-003  
  2.950000000000e+003  ,3.538534549437e-003  
  3.000000000000e+003  ,3.537905205733e-003  
  3.050000000000e+003  ,3.537253338242e-003  
  3.100000000000e+003  ,3.536573949949e-003  
  3.150000000000e+003  ,3.535865253686e-003  
  3.200000000000e+003  ,3.535120941178e-003  
  3.250000000000e+003  ,3.534337579535e-003  
  3.300000000000e+003  ,3.533506844508e-003  
  3.350000000000e+003  ,3.532622715300e-003  
  3.400000000000e+003  ,3.531673464476e-003  
  3.450000000000e+003  ,3.530648619666e-003  
  3.500000000000e+003  ,3.529530514124e-003  
  3.550000000000e+003  ,3.528300582271e-003  
  3.600000000000e+003  ,3.526929694482e-003  
  3.650000000000e+003  ,3.525382296927e-003  
  3.700000000000e+003  ,3.523602536089e-003  
  3.750000000000e+003  ,3.521506083721e-003  
  3.800000000000e+003  ,3.518922487689e-003  
  3.850000000000e+003  ,3.515435874786e-003  
  3.900000000000e+003  ,3.510201133216e-003  
  3.950000000000e+003  ,3.502506626379e-003  
  4.000000000000e+003  ,3.492245629541e-003  
  4.050000000000e+003  ,3.479607066536e-003  
  4.100000000000e+003  ,3.464855842617e-003  
  4.150000000000e+003  ,3.448267204852e-003  
  4.200000000000e+003  ,3.430104679850e-003  
  4.250000000000e+003  ,3.410612483853e-003  
  4.300000000000e+003  ,3.390011149864e-003  
  4.350000000000e+003  ,3.368497462072e-003  
  4.400000000000e+003  ,3.346243509561e-003  
  4.450000000000e+003  ,3.323399944034e-003  
  4.500000000000e+003  ,3.300097380701e-003  
  4.550000000000e+003  ,3.276447604176e-003  
  4.600000000000e+003  ,3.252547129870e-003  
  4.650000000000e+003  ,3.228478380736e-003  
  4.700000000000e+003  ,3.204311701692e-003  
  4.750000000000e+003  ,3.180106999876e-003  
  4.800000000000e+003  ,3.155915325111e-003  
  4.850000000000e+003  ,3.131779599815e-003  
  4.900000000000e+003  ,3.107736641181e-003  
  4.950000000000e+003  ,3.083817025912e-003  
  5.000000000000e+003  ,3.060046950788e-003  
